datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Total sales,Year,Month,Hour,Weekday Name
8/26/2017,4.99,3.516,1,19,10,0,6,2,46.506,2017,8,276,Saturday
8/27/2017,3,5.34,1,21.3,5,2,7,1,45.64,2017,8,276,Sunday
8/28/2017,8,7,5,16,12,0,1,3,52,2017,8,276,Monday
8/29/2017,7,3.066,3.5,17,5,0,11,2.1,48.666,2017,8,276,Tuesday
8/30/2017,7.67,3.99,3.15,17,4,3,0,2,40.81,2017,8,276,Wednesday
8/31/2017,16.68,3.033,3.05,17,4,0,0,1,44.763,2017,8,276,Thursday
9/1/2017,3.34,3,5,20.6,8,0,2,0,41.94,2017,9,276,Friday
9/2/2017,6.34,2.13,6,18.4,8,0,1,3,44.87,2017,9,276,Saturday
9/3/2017,6.83,5.462,2,18.4,7,0,1,3,43.692,2017,9,276,Sunday
9/4/2017,6.5,3.33,6,24,7,0,0,3,49.83,2017,9,276,Monday
9/5/2017,6.17,4.02,4,19.1,7,1,2,1.3,44.59,2017,9,276,Tuesday
9/6/2017,4.33,3,5,32,6,0,3,3,56.33,2017,9,276,Wednesday
9/7/2017,3,1,3.2,18,2,0,0,2,29.2,2017,9,276,Thursday
9/8/2017,8.83,7.32,3.1,34,8,0,3,4,68.25,2017,9,276,Friday
9/9/2017,6,8.34,2.5,20,7,0,0,4,47.84,2017,9,276,Saturday
9/10/2017,3.34,5.35,1,35.6,7,0,0,4.2,56.49,2017,9,276,Sunday
9/11/2017,2,3.373,2,12,16,0,0,2,37.373,2017,9,276,Monday
9/12/2017,1,4.35,5.2,18.25,6,1,1,2.2,39,2017,9,276,Tuesday
9/13/2017,4,0.66,2,25,16,0,5,0,52.66,2017,9,276,Wednesday
9/14/2017,5,5.34,5,22.4,6,0,9,5,57.74,2017,9,276,Thursday
9/15/2017,3,3,3,16,12,1,8,3,49,2017,9,276,Friday
9/16/2017,7,3,3.45,27.3,11,0,0,1.2,52.95,2017,9,276,Saturday
9/17/2017,5,4.34,4,32,6,1,7,5,64.34,2017,9,276,Sunday
9/18/2017,9,4.34,1,27,7,0,1,2,51.34,2017,9,276,Monday
9/19/2017,3.33,6.033,1,43.25,6,2,6,9,76.613,2017,9,276,Tuesday
9/20/2017,2,2.363,0.1,35.45,6,0,6,0,51.913,2017,9,276,Wednesday
9/21/2017,7.34,3.696,1,19.7,8,2,0,1,42.736,2017,9,276,Thursday
9/22/2017,4.66,2.241,3,27.5,2,0,0,3,42.401,2017,9,276,Friday
9/23/2017,9.99,6.99,3,14.45,12,2,0,2,50.43,2017,9,276,Saturday
9/24/2017,3.66,4.826,2,52.4,7,1,6,1,77.886,2017,9,276,Sunday
9/25/2017,1,2.517,1,39.2,7,3,26,1,80.717,2017,9,276,Monday
9/26/2017,2,5.67,2.1,38.6,4,0,6,1,59.37,2017,9,276,Tuesday
9/27/2017,4,2.33,3,38,7,3,3,0,60.33,2017,9,276,Wednesday
9/28/2017,3.34,2.68,2.5,37.85,3,0,10,0,59.37,2017,9,276,Thursday
9/29/2017,1,5,3,35.4,8,6,5,1,64.4,2017,9,276,Friday
9/30/2017,5.33,3.01,3,61.9,6,0,28,0,107.24,2017,9,276,Saturday
10/1/2017,4,5.891,3,72.1,7,1,20,1,113.991,2017,10,276,Sunday
10/2/2017,8.33,2,3.15,18,3,1,0,0,35.48,2017,10,276,Monday
10/3/2017,0.34,2.1,3.15,57.2,21,3,5,2,93.79,2017,10,276,Tuesday
10/4/2017,2,4.33,4,37,6,0,2,1,56.33,2017,10,276,Wednesday
10/5/2017,5.33,3.99,5,40.8,5,0,11,2,73.12,2017,10,276,Thursday
10/6/2017,3.99,4.66,1,39.8,7,0,6,2,64.45,2017,10,276,Friday
10/7/2017,4,2.023,2,35.25,4,0,10,1,58.273,2017,10,276,Saturday
10/8/2017,8.67,3.261,5.2,77.1,2,0,15,4,115.231,2017,10,276,Sunday
10/9/2017,0,0,0,0,0,0,0,0,0,2017,10,276,Monday
10/10/2017,10,2.68,2,25,8,0,11,3,61.68,2017,10,276,Tuesday
10/11/2017,3.5,1,4.6,39.4,2,0,6,2.5,59,2017,10,276,Wednesday
10/12/2017,4,2.393,2.3,41,9,0,1,2,61.693,2017,10,276,Thursday
10/13/2017,5.33,1.396,0.6,38,8,2,3,4,62.326,2017,10,276,Friday
10/14/2017,4.84,3.66,4,42.2,9,1,20,0,84.7,2017,10,276,Saturday
10/15/2017,6,6.68,1,37,5,0,11,2,68.68,2017,10,276,Sunday
10/16/2017,2.33,0.67,0,45.1,9,0,2,2,61.1,2017,10,276,Monday
10/17/2017,3.34,1.67,6,26.2,9,2,6,1,55.21,2017,10,276,Tuesday
10/18/2017,5.34,1.33,1,52.85,15,0,1,1,77.52,2017,10,276,Wednesday
10/19/2017,4.33,5.99,4.7,25.5,8,0,13,0,61.52,2017,10,276,Thursday
10/20/2017,2.83,4.363,3,36.25,15,0,8,0,69.443,2017,10,276,Friday
10/21/2017,3.33,3.769,3.3,25.2,9,3,5,4,56.599,2017,10,276,Saturday
10/22/2017,8,5,5,57.8,8,0,9,2,94.8,2017,10,276,Sunday
10/23/2017,3.33,1.363,2,28.6,4,0,28,1,68.293,2017,10,276,Monday
10/24/2017,2,2,10,65.2,3,0,10,1,93.2,2017,10,276,Tuesday
10/25/2017,6.34,3.33,5.35,26.9,4,0,1,1,47.92,2017,10,276,Wednesday
10/26/2017,1.33,1.099,2,38,9,1,5,2.3,59.729,2017,10,276,Thursday
10/27/2017,6.32,2.363,6,26,14,1,21,2,78.683,2017,10,276,Friday
10/28/2017,5,2.33,4,24.1,11,0,7,3,56.43,2017,10,276,Saturday
10/29/2017,7.66,2.373,1.05,36,3,0,1,2.2,53.283,2017,10,276,Sunday
10/30/2017,1.5,3.66,2,32.8,7,0,9,1,56.96,2017,10,276,Monday
10/31/2017,4.33,1.363,4,38,2,0,0,1,50.693,2017,10,276,Tuesday
11/1/2017,0.67,3.429,2,23,5,0,3,1,38.099,2017,11,276,Wednesday
11/2/2017,4,2.066,1.55,22.1,5,0,11,3,48.716,2017,11,276,Thursday
11/3/2017,2.33,7.67,4.4,37.4,10,3,6,1,71.8,2017,11,276,Friday
11/4/2017,10.34,7.472,6,33,5,0,1,3.2,66.012,2017,11,276,Saturday
11/5/2017,6.33,5.799,1.1,35.45,1,0,5,2,56.679,2017,11,276,Sunday
11/6/2017,8.34,3.2,2,20.2,11,3,8,1,56.74,2017,11,276,Monday
11/7/2017,0.67,4,7,20,4,0,0,1.5,37.17,2017,11,276,Tuesday
11/8/2017,6,1.1,2,9.2,1,0,5,1,25.3,2017,11,276,Wednesday
11/9/2017,2.67,3.746,0,28.8,2,0,11,1,49.216,2017,11,276,Thursday
11/10/2017,9.34,6.66,6.2,34,9,0,22,2,89.2,2017,11,276,Friday
11/11/2017,8.5,3,4.1,32,8,0,2,0,57.6,2017,11,276,Saturday
11/12/2017,5,3.65,6.15,40,9,0,3,2,68.8,2017,11,276,Sunday
11/13/2017,9.33,2.429,4.2,44.2,5,0,5,0.2,70.359,2017,11,276,Monday
11/14/2017,3,0.859,2,6.8,14,0,19,1,46.659,2017,11,276,Tuesday
11/15/2017,5.33,2.726,7.7,17,8,3,0,1,44.756,2017,11,276,Wednesday
11/16/2017,5.33,2,3,17.6,3,0,1,1,32.93,2017,11,276,Thursday
11/17/2017,3,4.837,3,34,5,0,30,2,81.837,2017,11,276,Friday
11/18/2017,5.33,8.45,2,42.5,2,0,8,1.2,69.48,2017,11,276,Saturday
11/19/2017,4,6.88,1,29,3,0,6,2.5,52.38,2017,11,276,Sunday
11/20/2017,2.34,5.34,2.4,28.8,10,0,2,0,50.88,2017,11,276,Monday
11/21/2017,13.33,0.68,1,22.4,5,0,2,1,45.41,2017,11,276,Tuesday
11/22/2017,2,4,1,26.1,20,0,1,1,55.1,2017,11,276,Wednesday
11/23/2017,9.33,5.99,6,34.3,14,0,0,3,72.62,2017,11,276,Thursday
11/24/2017,8,3.132,5,34.324,5,2,2,0,59.456,2017,11,276,Friday
11/25/2017,5.33,6.076,4.1,26.5,8,0,2,0,52.006,2017,11,276,Saturday
11/26/2017,5.66,5.786,1,31.2,2,1,12,2,60.646,2017,11,276,Sunday
11/27/2017,1.34,3.67,6.1,34.825,4,0,7,3,59.935,2017,11,276,Monday
11/28/2017,5,1.34,5.35,40.6,5,3,8,3,71.29,2017,11,276,Tuesday
11/29/2017,6.34,2.397,4.1,32.6,7,0,5,3,60.437,2017,11,276,Wednesday
11/30/2017,5.67,1.396,3,30,2,0,9,3,54.066,2017,11,276,Thursday
12/1/2017,10.33,7.66,1,25.4,3,0,5,2,54.39,2017,12,276,Friday
12/2/2017,4.33,3.67,5,22,11,0,0,1.5,47.5,2017,12,276,Saturday
12/3/2017,5.33,6.023,3,33.4,3,0,6,2,58.753,2017,12,276,Sunday
12/4/2017,1,2.363,4,15.6,3,0,13,3,41.963,2017,12,276,Monday
12/5/2017,3.68,3.165,4.05,17.1,1,0,6,2,36.995,2017,12,276,Tuesday
12/6/2017,4,4.396,2.1,29.2,12,0,6,1,58.696,2017,12,276,Wednesday
12/7/2017,3,2.66,5.45,24.9,8,0,7,1,52.01,2017,12,276,Thursday
12/8/2017,5.33,2.51,3.5,44.2,5,1,7,2,70.54,2017,12,276,Friday
12/9/2017,5,2.17,5.4,36.6,14,0,7,2,72.17,2017,12,276,Saturday
12/10/2017,5,2.802,5,48,7,0,18,2,87.802,2017,12,276,Sunday
12/11/2017,8,6,5.5,34.4,10,0,6,1,70.9,2017,12,276,Monday
12/12/2017,1.33,5.066,3,44,6,1,12,2,74.396,2017,12,276,Tuesday
12/13/2017,4,3.34,2.3,29,9,0,0,1,48.64,2017,12,276,Wednesday
12/14/2017,3,3,3,30,5,0,0,3,47,2017,12,276,Thursday
12/15/2017,4.18,5.01,2.5,29,6,0,0,1,47.69,2017,12,276,Friday
12/16/2017,11,6,3,36.6,6,1,1,2,66.6,2017,12,276,Saturday
12/17/2017,7,0.33,5.1,37,11,0,15,2,77.43,2017,12,276,Sunday
12/18/2017,0.66,4.67,6,31.6,7,0,8,0,57.93,2017,12,276,Monday
12/19/2017,0,0,0,0,0,0,0,0,0,2017,12,276,Tuesday
12/20/2017,2,3.396,3,27.2,3,0,11,2,51.596,2017,12,276,Wednesday
12/21/2017,2.02,2.66,4,23.4,5,0,6,0,43.08,2017,12,276,Thursday
12/22/2017,5.99,2.769,1.5,26,13,0,1,1.6,51.859,2017,12,276,Friday
12/23/2017,6,4.505,6.1,28.3,6,0,1,1,52.905,2017,12,276,Saturday
12/24/2017,7.66,3.46,2,32.2,4,0,5,1,55.32,2017,12,276,Sunday
12/25/2017,1,0.62,4.1,15.53,4,0,6,2,33.25,2017,12,276,Monday
12/26/2017,2.99,4.67,3.5,56.9,9,0,9,2,88.06,2017,12,276,Tuesday
12/27/2017,7,4.814,5.15,32.7,9,0,3,0,61.664,2017,12,276,Wednesday
12/28/2017,7.33,3.462,5.1,35.35,12,3,24,1,91.242,2017,12,276,Thursday
12/29/2017,9.34,2.066,2.5,41.4,17,0,11,2,85.306,2017,12,276,Friday
12/30/2017,8.68,8.363,4,50,8,0,10,3,92.043,2017,12,276,Saturday
12/31/2017,13.83,10.043,5.3,70.2,9,0,0,1,109.373,2017,12,276,Sunday
1/1/2018,0,0,0,0,0,0,0,0,0,2018,1,276,Monday
1/2/2018,1,5.33,2.25,38,3,0,2,2,53.58,2018,1,276,Tuesday
1/3/2018,4.67,2.397,3,54,4,0,10,3,81.067,2018,1,276,Wednesday
1/4/2018,6,1.099,1,39.2,9,0,1,2,59.299,2018,1,276,Thursday
1/5/2018,12,6.825,3,26,11,0,21,1,80.825,2018,1,276,Friday
1/6/2018,4.66,1.66,2.2,73,4,0,5,8,98.52,2018,1,276,Saturday
1/7/2018,0,0,0,0,0,0,0,0,0,2018,1,276,Sunday
1/8/2018,2.33,6.53,4.2,29.6,5,0,0,1,48.66,2018,1,276,Monday
1/9/2018,5.33,2.099,5,33.825,9,6,10,1,72.254,2018,1,276,Tuesday
1/10/2018,9.33,7.406,6,44.5,12,0,6,2,87.236,2018,1,276,Wednesday
1/11/2018,4,4.33,5.5,37.6,7,0,5,0,63.43,2018,1,276,Thursday
1/12/2018,5.66,1.33,3,42,11,0,10,0,72.99,2018,1,276,Friday
